utility,event_year,label,filename,listing,source_url
PG&E,2025,"January 22, 2025: PG&E PSPS Post-Event Report",r1812005pge1222025-psps-postevent-report02072025.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005pge1222025-psps-postevent-report02072025.pdf
PG&E,2026,"May 17, 2026: PG&E PSPS Post-Event Report",r1812005pge51726-psps-postevent-reports1.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005pge51726-psps-postevent-reports1.pdf
PG&E,2026,"June 10, 2026: PG&E PSPS Post-Event Report",r1812005pge61026-psps-postevent-report62526.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005pge61026-psps-postevent-report62526.pdf
PG&E,2026,"July 15, 2026: PG&E PSPS Post-Event Report",r1812005pge71526-psps-postevent-report073026.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005pge71526-psps-postevent-report073026.pdf
SCE,2018,"Nov. 5-13, 2018 Potential Pro-Active De-Energization Report",sce-esrb-8-report-regarding-november-5-through-november-13-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-regarding-november-5-through-november-13-2018.pdf
SCE,2018,"Oct. 12-16, 2018 Potential Pro-Active De-Energization Report",sce-esrb-8-report-regarding-october-12-through-october-16-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-regarding-october-12-through-october-16-2018.pdf
SCE,2019,"Dec. 29, 2018 - Jan. 1, 2019 Pro-Active De-Energization Post Event Report",sce-esrb-8-report-dec-29-2018-jan1-2019.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-dec-29-2018-jan1-2019.pdf
SCE,2019,"Nov. 23-26, 2019 Proactive De-energization Post-Event Report",sce-nov-2326-2019-psps-postevent-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-nov-2326-2019-psps-postevent-report.pdf
SCE,2019,"Oct. 21-26, 2019 Pro-Active De-Energization Post Event Report",sce-post-event-reporting-october-21-through-october-26-2019.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-post-event-reporting-october-21-through-october-26-2019.pdf
SCE,2019,"Sept. 4-8, 2019 Pro-Active De-Energization Post Event Report",sce-post-event-reporting-september-4-through-september-8-2019.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-post-event-reporting-september-4-through-september-8-2019.pdf
SCE,2019,"Jun. 28-Jul. 8, 2019 Potential Pro-Active De-Energization Report",sce-psps-post-event-report-june-28july8-2019-7222019.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-post-event-report-june-28july8-2019-7222019.pdf
SCE,2019,"Jun. 17-22, 2019 Potential Pro-Active De-Energization Report",sce-psps-post-event-reportjune-17-22-2019-752019.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-post-event-reportjune-17-22-2019-752019.pdf
