match,utility,report_id,warehouse_event,dataset_customers,warehouse_customers,customers_diff,customers_diff_pct,dataset_first_date,warehouse_first_date,first_date_diff_days,dataset_last_date,warehouse_last_date,last_date_diff_days,dataset_counties,warehouse_counties,dataset_county_names,warehouse_county_names,dataset_time_source,dataset_first_is_listing_date
both,SCE,sce__r1812005_sce_psps_post_event_for_september_2_2025_de_energization,SCE PSPS Event 09/02/25,1223,1223,0,0.0,2025-09-02,2025-09-02,0,2025-09-10,2025-09-10,0,4,4,Kern; Los Angeles; San Bernardino; Tulare,Kern; Los Angeles; San Bernardino; Tulare,PDF page 62,False
both,SCE,sce__r1812005sce_psps_postevent_for_october_8_2025_deenergization,SCE PSPS Event 10/08/25,1215,1215,0,0.0,2025-10-08,2025-10-08,0,2025-10-14,2025-10-14,0,4,4,Inyo; Los Angeles; Mono; San Bernardino,Inyo; Los Angeles; Mono; San Bernardino,PDF page 62,False
both,SCE,sce__r1812005sce_psps_postevent_for_october_28_2025_deenergization,SCE PSPS Event 10/28/25,2640,2640,0,0.0,2025-10-28,2025-10-28,0,2025-10-28,2025-10-29,-1,4,4,Los Angeles; Riverside; San Bernardino; Ventura,Los Angeles; Riverside; San Bernardino; Ventura,PDF page 65,False
both,SCE,sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,SCE PSPS Event 11/05/25,1145,1145,0,0.0,2025-11-05,2025-11-05,0,2025-11-06,2025-11-06,0,2,2,Inyo; Mono,Inyo; Mono,PDF page 21,False
both,SCE,sce__sce_nov_9_2025_psps_post_event_report,SCE PSPS Event 11/09/25,909,909,0,0.0,2025-11-09,2025-11-09,0,2025-11-10,2025-11-10,0,1,1,San Bernardino,San Bernardino,PDF page 22,False
both,SDG&E,sdge__r1812005_sdge_psps_postevent_report_112426,SDGE PSPS Event 11/24/21,5858,5858,0,0.0,2021-11-24,2021-11-24,0,2021-11-26,2021-11-26,0,1,1,San Diego,San Diego,Excel sheet Table 3 row 5 (34 circuits),False
both,SDG&E,sdge__r1812005_sdge_psps_postevent_report_nov_68_2024,SDG&E PSPS Event 11/06/24,1263,1263,0,0.0,2024-11-06,2024-11-06,0,2024-11-08,2024-11-07,1,1,1,San Diego,San Diego,Excel sheet Table 3 row 21 (22 circuits),False
both,SDG&E,sdge__r1812005_sdge_psps_postevent_report_dec_911_2024_1_10_2025,SDG&E PSPS Event 12/09/24,51922,51922,0,0.0,2024-12-09,2024-12-09,0,2024-12-11,2024-12-11,0,3,1,San Diego; Orange,San Diego,Excel sheet Table 3_Amended row 168 (301 circuits),False
both,SDG&E,sdge__r1812005_sdge_psps_postevent_reportjan_716_2025_eserve,SDG&E PSPS Event 01/07/25,21508,15103,6405,42.41,2025-01-07,2025-01-07,0,2025-01-16,2025-01-16,0,4,1,San Diego; Orange; Riverside; Imperial,San Diego,Excel sheet Table 3 row 31 (189 circuits),False
both,SDG&E,sdge__r1812005_sdge_psps_postevent_report_jan_2024_2025_e_serve_2_24_2025,SDG&E PSPS Event 01/20/25,29980,27015,2965,10.98,2025-01-20,2025-01-20,0,2025-01-24,2025-01-24,0,3,1,,San Diego,Excel sheet Table 3 row 211 (238 circuits),False
dataset_only_outside_window_no_shutoff,PG&E,pge__pge_psps_report_event_nov_6_8_2018,,0,,,,2018-11-06,,,,,,0,,,,,True
dataset_only_outside_window,PG&E,pge__pge_psps_report_letter_oct_13_17_2018,,60000,,,,2018-10-14,,,2018-10-17,,,7,,Amador; Calaveras; El Dorado; Lake; Napa; Placer; Sonoma,,PDF page 7,False
dataset_only_outside_window,PG&E,pge__pge_esrb8_report_for_oct_26_29_2019,,967754,,,,2019-10-26,,,2019-11-08,,,,,,,PDF page 81,False
dataset_only_outside_window,PG&E,pge__pge_psps_report_letter_june_7_9_2019,,22474,,,,2019-06-08,,,2019-06-09,,,4,,Napa; Yolo; Solano; Butte,,PDF page 10,False
dataset_only_outside_window,PG&E,pge__pge_public_safety_power_shutoff_nov_2021_2019_report,,49202,,,,2019-11-20,,,2019-11-21,,,11,,,,PDF page 32,False
dataset_only_outside_window,PG&E,pge__pge_public_safety_power_shutoff_oct_2325_2019_report,,178809,,,,2019-10-23,,,2019-10-25,,,17,,Alpine; Amador; Butte; Calaveras; El Dorado; Kern; Lake; Mendocino; Napa; Nevada; Placer; Plumas; San Mateo; Sierra; Sonoma; Tehama; Yuba,,PDF page 44,False
dataset_only_outside_window,PG&E,pge__pge_public_safety_power_shutoff_oct_56_2019_report,,11609,,,,2019-10-05,,,2019-10-06,,,3,,Butte; Yuba; Plumas,,PDF page 10,False
dataset_only_outside_window,PG&E,pge__pge_public_safety_power_shutoff_oct_912_report,,732348,,,,2019-10-09,,,2019-10-12,,,35,,Alameda; Alpine; Amador; Butte; Calaveras; Colusa; Contra Costa; El Dorado; Glenn; Humboldt; Kern; Lake; Marin; Mariposa; Mendocino; Merced; Napa; Nevada; Placer; Plumas; San Joaquin; San Mateo; Santa Clara; Santa Cruz; Shasta; Sierra; Siskiyou; Solano; Sonoma; Stanislaus; Tehama; Trinity; Tuolumne; Yolo; Yuba,,PDF page 12,False
dataset_only_outside_window,PG&E,pge__public_safety_power_shutoff_sept_25_27_2019,,70826,,,,2019-09-23,,,2019-09-26,,,7,,Butte; Nevada; Placer; Plumas; Yuba; Napa; Sonoma,,PDF page 15,False
dataset_only_outside_window,PG&E,pge__pge_oct_14_17_2020_psps_post_event_report,,40574,,,,2020-10-13,,,2020-10-17,,,19,,Alameda; Butte; Contra Costa; Humboldt; Lake; Monterey; Napa; Nevada; Plumas; San Mateo; Santa Clara; Santa Cruz; Shasta; Solano; Sonoma; Tehama; Trinity; Yolo; Yuba,,PDF page 78,False
dataset_only_outside_window,PG&E,pge__pge_oct_21_23_2020_psps_post_event_report,,30154,,,,2020-10-21,,,2020-10-23,,,7,,Butte; Colusa; Glenn; Plumas; Shasta; Tehama; Yolo,,PDF page 75,False
dataset_only_outside_window,PG&E,pge__pge_oct_25_28_2020_psps_post_event_report,,345470,,,,2020-10-25,,,2020-10-28,,,35,,Alameda; Alpine; Amador; Butte; Calaveras; Colusa; Contra Costa; El Dorado; Fresno; Glenn; Humboldt; Lake; Madera; Marin; Mariposa; Mendocino; Napa; Nevada; Placer; Plumas; San Joaquin; San Mateo; Santa Clara; Santa Cruz; Shasta; Sierra; Siskiyou; Solano; Sonoma; Stanislaus; Tehama; Trinity; Tuolumne; Yolo; Yuba,,PDF page 84,False
dataset_only_outside_window,PG&E,pge__pge_sept_27_29_2020_psps_post_event_report,,64297,,,,2020-09-26,,,2020-09-29,,,15,,Alpine; Amador; Butte; Calaveras; El Dorado; Lake; Napa; Nevada; Placer; Plumas; Shasta; Sierra; Sonoma; Tehama; Yuba,,PDF page 75,False
dataset_only_outside_window,PG&E,pge__pge_sept_7_10_2020_psps_post_event_report,,168581,,,,2020-09-07,,,,,,22,,,,PDF page 56,False
dataset_only_outside_window,PG&E,pge__psps_event_12_02_20_de_energization_report_final,,617,,,,2020-12-02,,,2020-12-03,,,1,,Kern County,,PDF page 63,False
dataset_only_outside_window_no_shutoff,PG&E,pge__psps_event_12_07_20_de_energization_report,,0,,,,2020-12-07,,,,,,0,,,,,True
dataset_only_outside_window,PG&E,pge__jan_19_2021_pge_post_event_report,,5099,,,,2021-01-18,,,2021-01-26,,,7,,Fresno; Kern; Madera; Mariposa; San Luis Obispo; Santa Barbara; Tulare,,PDF page 71,False
dataset_only_outside_window,PG&E,pge__pspsreportletter092021,,2968,,,,2021-09-20,,,2021-09-21,,,8,,Colusa; Glenn; Kern; Lake; Napa; Solano; Tehama; Yolo,,PDF page 94,False
dataset_only_in_window_no_shutoff,PG&E,pge__final_psps_10_22_22_weather_post_event_report_20221107,,0,,,,2022-10-22,,,,,,0,,,,,True
dataset_only_in_window_no_shutoff,PG&E,pge__pge_post_event_report_9302023_event,,0,,,,2023-09-30,,,,,,0,,,,,True
dataset_only_in_window_no_shutoff,PG&E,pge__r1812005coverpge12152023_psps_postevent_report01020224,,,,,,2023-12-15,,,,,,,,,,,True
dataset_only_in_window_no_shutoff,PG&E,pge__07_05_2024_psps_post_event_report_20240719,,0,,,,2024-07-05,,,,,,0,,,,,True
dataset_only_outside_window,PG&E,pge__r1812005pge51726_psps_postevent_reports1,,4583,,,,2026-05-17,,,2026-05-18,,,15,,Alameda; Colusa; Contra Costa; Fresno; Glenn; Lake; Merced; Napa; San Benito; San Joaquin; Solano; Sonoma; Stanislaus; Tehama; Yolo,,PDF page 88,False
dataset_only_outside_window,PG&E,pge__r1812005pge61026_psps_postevent_report62526,,4256,,,,2026-06-10,,,2026-06-11,,,8,,Colusa; Glenn; Lake; Napa; Sonoma; Sutter; Tehama; Yolo,,PDF page 83,False
dataset_only_outside_window,PG&E,pge__r1812005pge71526_psps_postevent_report073026,,5186,,,,2026-07-15,,,2026-07-16,,,8,,Alameda; Contra Costa; Marin; Monterey; San Benito; San Joaquin; San Luis Obispo; Santa Barbara,,PDF page 79,False
dataset_only_outside_window_no_shutoff,SCE,sce__sce_esrb_8_report_regarding_november_5_through_november_13_2018,,,,,,2018-11-08,,,2018-11-14,,,4,,Los Angeles; Orange; San Bernardino; Ventura,,PDF page 5,False
dataset_only_outside_window_no_shutoff,SCE,sce__sce_esrb_8_report_regarding_october_12_through_october_16_2018,,0,,,,2018-10-12,,,,,,0,,,,,True
dataset_only_outside_window,SCE,sce__sce_esrb_8_report_dec_29_2018_jan1_2019,,34,,,,2019-01-01,,,2019-01-01,,,1,,Orange,,PDF page 4,False
dataset_only_outside_window,SCE,sce__sce_nov_2326_2019_psps_postevent_report,,1192,,,,2019-11-25,,,2019-11-26,,,5,,Mono; Ventura; San Bernardino; Inyo; Los Angeles,,PDF page 16,False
